Id;Nome;Latitude;Longitude
10489;"Seu Nega" trainning hill;-20,7636;-41,0708
9368;Afonso Claudio - Faz, Guandu;-20,2256;-41,097
9306;Alfredo Chaves;-20,6642;-40,7081
8885;Alfredo Chaves;-20,6715;-40,7804
10707;Alfredo Chaves;-20,3731;-40,3137
11241;Alto Chapéu;-20,5816;-41,2589
11075;Alto da serra;-20,7569;-41,5653
9224;Apeninos - Castelo;-20,5901;-41,1614
11994;Apeninos - Pouso;-20,6098;-41,1838
10778;Aricanga;-19,823;-40,3363
10905;BOM JESUS ITABAPOANA;-21,1017;-41,6578
12210;Baixo Guandu;-19,6303;-40,9686
12208;Baixo Guandu;-19,6308;-40,9678
9458;Baixo Guandu;-;-
11421;Baixo Guandú - West Takeoff;-19,6325;-40,958
11962;Bertolini;-;-
11937;Cachoeiro de Itapemirim;-20,7658;-41,0494
11548;Cachoeiro de Itapemirim;-20,7532;-41,063
11375;Canudau/Tuty;-20,7834;-41,0469
9687;Castelo - BR;-20,6943;-41,0862
9688;Castelo - BR;-20,6115;-41,0862
11435;Castelo - Torre;-20,6155;-41,2016
11159;Cliff Place;-21,1493;-40,8887
11681;Cliffs of 15;-19,3525;-40,1133
11059;Creek Beach;-20,7029;-40,5151
9676;Danilo Pionte;-19,7586;-40,6916
11235;Dores do Rio Preto ES;-20,7042;-41,8486
10768;Dunas de Itaunas;-18,4199;-39,7031
10841;ECOPORANGA;-18,3748;-40,8423
13405;ESPAÇO DO ENFERMEIRO VOADOR;-19,7859;-45,3065
11247;Falésia da Lagoa Jesuina - RB;-19,2241;-40,2008
10465;Goiapabacu;-19,9818;-40,4284
10454;Goiapabaçu;-19,9162;-40,4713
10126;Guarapari;-20,7198;-40,5224
11038;Jacete Cliff;-20,3277;-41,1762
9546;Jose Bridi;-19,8717;-40,8366
10826;KM 47;-18,7586;-40,2765
11665;Lime ramp;-20,9837;-41,2399
9204;Mantenópolis - Daniel Casaurang;-18,8786;-41,1269
9365;Maricará;-20,2695;-40,466
10258;Mestre Álvaro, Pedreira (nova carapina);-20,1616;-40,2835
9945;Mestre Álvaro, lado Pitanga;-20,1838;-40,2935
10094;Monjolo;-19,5749;-40,9767
9408;Morro das Antenas;-20,5968;-41,0917
9297;Morro do Moreno;-20,3254;-40,2766
11118;Morrote do Alvim;-20,3795;-41,2044
10706;Morrote do Japira;-19,4416;-40,3034
11430;Morrote sul Aracuí;-20,642;-41,2683
9346;Pancas;-;-
11047;Pancas;-19,2395;-40,8139
11031;Pedra Descolada;-20,8281;-41,1428
10277;Pedra Preta;-20,121;-40,3265
9547;Pedra da Concha;-20,4266;-40,3213
10899;Pedreira;-20,2815;-40,3226
10646;Pico dos Abelheiros ;-19,0254;-41,0704
10617;Piuma beach;-20,8529;-40,7495
12207;Próx, Vargem Alegre;-18,8482;-40,8474
10005;Ramp Anutiba;-20,6153;-41,4463
9720;Ramp High Palmital;-19,6693;-40,9616
11130;Ramp Ita;-18,5944;-40,8745
11680;Ramp coffee;-20,8646;-41,5741
10845;Rampa 05 Pontões;-19,7951;-40,9993
10433;Rampa 1 do São Francisco;-19,3136;-40,2926
11329;Rampa Alto Caparaó Itaguaçu;-19,723;-40,9712
10738;Rampa Alto Sobreiro/05 Pontões;-19,7694;-40,9532
10378;Rampa Anutiba Wolverine Gaivota;-20,6147;-41,4002
11234;Rampa Barra do Triunfo;-19,7243;-40,4757
10434;Rampa Lagoa Jesuína - NORTE;-19,2362;-40,1925
11111;Rampa Sul Pombal;-20,7358;-41,4593
9972;Rampa São Pedro Frio;-19,393;-40,7932
9928;Rampa da Lajinha;-19,2378;-40,8448
10500;Rampa da Serrinha;-20,3902;-41,4837
11182;Rampa da Urtiga;-20,2758;-40,4444
12296;Rampa de Bom Jesus do Norte- ES;-21,0726;-41,5035
12342;Rampa de Guaçuí-ES;-20,7752;-41,7042
11558;Rampa de Ibituba;-19,6583;-40,9858
10540;Rampa de Lajinha do Pancas - ES;-19,1712;-40,7735
9252;Rampa de Solidão;-20,7693;-40,7953
8859;Rampa de Ubá - Castelo;-20,6034;-41,0857
11180;Rampa do Artur;-20,3892;-40,4883
10577;Rampa do Café (Mantenópolis);-18,8725;-41,0211
10624;Rampa do Camilo Pansini - Alto São Vicente - ES;-20,647;-41,0894
10824;Rampa do Cinézio;-18,709;-40,9349
11011;Rampa do Dourado;-18,9811;-40,4334
10100;Rampa do Filetti - Venda Nova;-20,3489;-41,1113
9330;Rampa do Mirante - Cachoeiro de Itapemirim;-20,7418;-41,0604
10950;Rampa do Panorama;-19,341;-40,3656
11063;Rampa do Timirim - RB;-19,3005;-40,4164
11284;Rampa do Veinho;-18,9584;-40,3276
11276;Rampa do Veinho - Vila ValÃ©rio;-18,8961;-40,2866
12605;Rampa do veinho ;-18,9104;-40,307
11484;Rampa dos Plantikow;-19,7362;-40,9974
10951;Rampa norte cachoeiro/ pedra descolada;-20,8895;-41,1481
10427;Rancho Pedra Negra;-20,2363;-40,4695
9335;Santa Teresa - Rampa Joao Fernandes;-19,9063;-40,6533
9354;Secret;-20,319;-40,5011
10869;Serra - Falesia de Nova Almeida;-20,0677;-40,1806
10575;Sitio Felix;-19,9966;-40,3855
11749;Stone at Saint John of the Garrafão;-20,1682;-40,9282
9171;São Diogo - Timbuí;-20,0376;-40,4727
9759;São Pedro Frio;-19,3808;-40,8032
9858;Taquaral - Castelo;-20,6337;-41,145
11917;Timbui;-20,0467;-40,4592
11144;Torre de Gironda;-20,7198;-41,0862
9499;Três Pontões;-20,0749;-41,0364
10573;Vargem Alegre;-18,8384;-40,88
11193;Vargem Fria ;-20,5797;-41,1342
11973;Viana;-20,3191;-40,4905
9203;Vila Valerio;-18,9958;-40,2664
12209;Vila Valério;-18,9014;-40,2956
12211;Vila Valério;-18,9017;-40,2953
8590;Vitoria;-20,3167;-40,35
10316;Vitória ES;-20,249;-40,2799
10914;Vulture hill;-20,3661;-40,4573
11178;West Monjolos Ramp;-19,6382;-40,9969
10157;alto liberdade em marilandia;-19,3629;-40,5522
12897;antena de uba;-20,605;-41,0636
10266;lagoa de linhares;-19,3145;-40,1208
12899;morro alto formoso;-20,7327;-41,0583
12900;morro antena uba;-20,6363;-41,0129
12896;morro das antenas;-20,5733;-41,0712
10267;morrote de colatina;-19,4982;-40,6236
12895;pier na ventaca;-21,0055;-40,8061
11356;rampa caravagio;-19,9013;-40,6423
10120;são marcos;-19,4568;-40,553
11058; ALPES;-21,8906;-42,9459
9260; São João Nepomuceno;-21,5491;-42,9922
9493;AERO CLUBE DE GUAXUPE-MG;-21,3264;-46,7241
10975;Aerodromo de Muriaé;-21,1259;-42,3952
11125;Aeropasto;-22,4891;-45,9847
12024;Aeropasto 1;-20,7169;-44,8151
9832;Aeroporto Carlos Prates;-19,9076;-43,9855
10940;Airport of Divinópolis;-20,1766;-44,8736
10857;Airport of São João Nepomuceno;-21,5415;-43,0161
10939;Airport of Zona da Mata;-21,5068;-43,1637
11530;Albertina - NE;-22,2104;-46,6281
9929;Alto Caparaó;-20,4815;-41,8581
10442;Antenas de Cláudio;-20,4599;-44,7483
8967;Araguari;-18,4373;-48,4351
8912;Araguari;-18,514;-48,561
9022;Araguari;-18,6667;-48,1895
11097;Ararapira;-18,4914;-48,2483
9790;Araxa;-19,6994;-46,855
10353;Araxa - Horizonte Perdido;-19,8168;-46,958
8998;Araxá;-19,5939;-46,9395
9457;Araxá;-19,7168;-46,9228
9421;Araxá;-19,7212;-46,9417
8839;Araxá;-19,7084;-46,8487
8992;Araxá;-19,7043;-46,8632
9017;Araxá;-19,9245;-47,1904
9033;Araxá - Fazenda;-19,7178;-46,8439
11355;ArthurRO ;-21,0893;-42,5101
8854;Astolfo Dutra;-21,3221;-42,888
11220;BOA SORTE;-16,9534;-44,1848
9053;BOCAIÚVA/MG-Sentinela;-17,1024;-44,0232
9258;BR040;-21,8131;-43,3909
8979;BUGRE;-19,3755;-42,2802
11239;Baependi Macieis;-21,9676;-44,8213
10909;Baependi North;-21,973;-44,8856
9708;Baiano Takeoff;-21,7904;-46,5789
11114;Beautiful Stone;-20,5619;-42,3866
11831;Bela Vista Airport;-22,1504;-45,7652
9853;Belizario (Muriae MG);-20,949;-42,4211
5322;Belo Horizonte;-19,9167;-43,9333
9062;Belo Horizonte - Moedinha;-20,1519;-44,3978
9725;Belo Horizonte - Serra da Moeda;-20,2107;-44,0042
9643;Belo Horizonte - Serra da Moeda;-20,2319;-43,9736
9665;Bicas;-21,7087;-43,0852
9666;Bicas;-21,6988;-43,1174
9664;Bicas;-21,7032;-43,0732
9900;Big Stone;-22,3216;-45,4483
10377;Blot plateau´s ramp;-20,0922;-43,4357
9732;Boa Esperança;-20,9848;-45,6231
9190;Boa vista  Ipuiuna;-22,1296;-46,1877
9737;Bocaina de Minas;-22,1797;-44,5122
11420;Bocaina de Minas - Rampa 320m;-22,1213;-44,4248
9994;Bom Jardim de Minas;-21,8641;-44,0968
5451;Brasilia de Minas;-16,2119;-44,4308
11259;Brasopolis - Mirante Vo Cotinha;-22,4824;-45,6083
11303;Brejaubinha;-18,7936;-42,3019
9954;Bufalos Araxá;-19,7721;-46,8734
11316;Bugio waterfall;-22,0418;-44,8117
10029;CAMBUÍ;-22,6234;-46,0603
11660;CAP Eneas;-16,7066;-43,8664
9309;CAP,ENÉAS/MG-Morro São João;-16,375;-43,6855
8837;CBJ - Rampa Romeu;-22,6552;-45,9808
9743;CBJ - Rampa do Romeu;-22,6357;-45,9714
9479;CBJ - Rampa do Romeu;-22,6396;-46,0035
9803;CBJ - Recoco - SE;-22,6057;-45,9538
10360;CBJ - Recoco - SE;-22,4318;-45,9478
11105;CHEESE;-21,686;-45,2573
10881;Cabeça de Boi - Itambé - Minas Gerais (BR);-19,4393;-43,401
9090;Cachoeira Alta - Ipoema ;-19,5761;-43,4919
11999;Cachoeira Casca Danta;-20,314;-46,5337
10409;Cachoeira do Coelho;-21,848;-43,7466
9926;Caeté Takeoff;-21,7864;-43,2807
10666;Caiana - Rampa Sul;-20,7393;-41,9537
9202;Caldas - Pedra Branca;-21,9331;-46,3915
9197;Caldas - Pedra Branca;-21,9474;-46,4549
11523;Cambuquira;-21,9052;-45,2878
11294;Cambuquira;-21,8873;-45,3041
9047;Cambuquira;-21,9298;-45,311
8840;Cambuquira;-21,9139;-45,3018
9801;Cambuquira - BR [~1,1];-21,9165;-45,3124
9380;Cambuquira - Piri-Pau;-22,0732;-45,2403
9288;Cambuí;-22,589;-45,9888
11860;Campo Prefeitura de Itajubá MG;-22,4056;-45,4334
11959;Canastra - São João Batista do Glória;-20,5461;-46,4042
9391;Carmo Do Rio Claro - Morro das Tormentas;-20,9723;-46,1376
9026;Carmo Do Rio Claro - Morro das Tormentas;-20,9861;-46,1116
9389;Carmo do Rio Claro;-20,5395;-43,8774
10194;Carrancas;-21,4642;-44,6618
9763;Carrancas;-21,4462;-44,667
10859;Castilha Take off;-21,3359;-42,4295
10894;Chico do Parque - Pouso Alegre ;-22,2969;-45,9843
11238;Colonia Baependi;-22,0406;-44,8938
11398;Conceição dos Ouros;-22,385;-45,7974
9805;Conceição dos Ouros - MG;-22,3387;-45,7915
9172;Conceição dos Ouros - Maria Mijona;-22,395;-45,7747
9470;Congonhal;-22,1241;-46,0322
10482;Congonhal;-22,1684;-46,0036
10623;Contestado;-18,7353;-41,3952
11854;Coqueirinho SE-SK;-22,4606;-46,0596
9800;Crist;-22,2218;-45,9827
9747;Cristo ;-21,7585;-43,3606
9535;Cruzeiro de Almenara;-16,2;-40,6744
11348;DIGIFLY DESLIGOU EM VOO;-18,9518;-41,7567
11862;Decolagem da travessia;-22,1009;-44,7314
9836;Decolagem de Machados ;-21,673;-43,1359
9140;Descuberto - São João Nepomuceno;-21,4002;-42,969
11715;Edson fly;-20,9293;-43,7666
10634;Escolinha;-16,8505;-43,5901
9328;Eucalíptos;-22,6474;-45,9914
9135;Extrema Morro dos Cabritos;-22,8637;-46,2997
11890;Fazenda Seiva;-21,9624;-44,9052
11918;Fim da picada;-22,0431;-44,6941
10535;Fié;-20,2155;-42,2216
11022;Flight of the Cruzeiro;-18,2642;-47,0943
11115;Florestal - MG;-19,8825;-44,4212
9191;Formiga - Morro da Melancia;-20,5006;-45,3682
11256;Gap Ptc;-18,8768;-46,9986
9289;Governador Valadares;-18,8747;-41,9149
10959;Governador Valadares - Pico do Ibituruna;-18,9715;-41,9698
9466;Governador Valadares - Pico do Ibituruna;-18,8471;-41,9558
11282;Governador Valadares - Pico do Ibituruna;-18,9272;-41,9277
9851;Governador Valadares - Pico do Ibituruna;-18,8935;-41,9225
9702;Governador Valadares - Pico do Ibituruna;-18,901;-41,9526
9697;Governador Valadares - Pico do Ibituruna;-18,8702;-41,8896
9278;Governador Valadares - Pico do Ibituruna;-18,8582;-41,9411
9701;Governador Valadares - Pico do Ibituruna;-19,0345;-42,0849
9698;Governador Valadares - Pico do Ibituruna;-18,9407;-41,8643
11376;Governador Valadares - Pico do Ibituruna;-18,895;-41,9071
10598;Governador Valadares - Pico do Ibituruna;-18,8718;-41,9683
10122;Grotão;-20,3733;-47,048
11382;Grotão ;-20,3583;-47,0353
10537;Grotão - Capitólio;-20,621;-46,1573
8842;Guapé;-20,8571;-45,8621
8926;Guarda Mor;-17,7636;-47,1373
11497;Guarda mor;-17,7522;-47,1382
8908;Guarda-Mor;-17,7641;-47,1366
9124;Guidoval;-21,1741;-43,0251
9123;Guidoval;-21,203;-42,7561
9489;Guidoval - Rampa do Biombo;-21,1954;-42,7617
11296;Heringer;-20,3011;-42,0062
10620;IBITURUNA;-19,3179;-42,0657
9520;Ibitipoca;-21,7332;-43,9182
10851;Ibitipoca;-21,5658;-43,8683
9291;Ibitiura de Minas;-22,0429;-46,4367
9627;Ibitiura de Minas - Tres Pedras;-22,0858;-46,3932
9621;Ibitiura de Minas Igrejinha;-22,0498;-46,4166
10211;Ibituruna;-19,0957;-42,0258
9488;Ibituruna;-18,958;-41,9385
9657;Ibituruna;-19,017;-41,9941
11109;Ibiá ;-19,4895;-46,5853
8995;Ilicínea;-20,8946;-45,7878
10580;Inconfidentes MG;-22,336;-46,3241
11070;Indaiá;-17,8471;-41,5217
10986;Indias Take Off;-19,7371;-42,837
10400;Ipuiuna/MG Rampa da Cacilda;-22,0978;-46,2393
8958;Itabira;-19,6111;-43,1491
10829;Itabira;-20,061;-43,9824
9840;Itabirito;-20,1002;-43,8533
9839;Itaguara;-20,372;-44,4724
11531;Itambacuri ;-18,0601;-41,6955
8871;Itamonte;-22,3729;-44,8177
9008;Itamonte - Rampa do Cipó;-22,3626;-44,8438
9183;Itapecerica - Rampa Sul;-20,4814;-45,1156
11071;Itapeva-MG;-22,7131;-46,2429
10660;Jacutinga-MG;-22,2304;-46,5969
8947;João Monlevade;-19,8354;-43,1636
11951;Juiz de Fora;-21,6894;-43,3526
9210;Kórggo;-22,6296;-45,9814
9257;Laçador -Juiz de Fora;-21,8289;-43,366
9876;Leopoldina;-21,553;-42,659
9329;Leopoldina;-21,544;-42,655
8848;Leopoldina;-21,5504;-42,6439
9350;Leopoldina;-21,506;-42,599
11673;Leopoldina;-21,5695;-42,6788
9993;Leopoldina;-21,5936;-42,6704
10632;Little Church;-21,0732;-45,554
9661;Little Church;-21,0003;-45,6149
11867;MOC;-16,5432;-43,9113
9248;MONTES CLAROS/MG-Papai;-16,4001;-43,7996
9760;MONTES CLAROS/MG-Papai;-16,305;-43,8586
9247;MONTES CLAROS/MG-Pedreira;-16,7178;-43,8962
10800;MORRO DO SELADO;-21,9879;-45,3181
9443;Mantena;-18,785;-41,0127
10362;Maria Mijona;-22,4083;-45,8955
8997;Mariana;-20,3999;-43,3891
10109;Mateus Leme - Serra do Elefante;-19,9574;-44,4229
11517;Matipó-MG;-20,2799;-42,366
11712;Mazinho Launch;-21,0232;-43,6324
10729;Medeiros;-19,9588;-46,2037
9255;Microondas;-21,6523;-43,3406
9610;Mirante da Vó Cotinha;-22,5185;-45,5981
11941;Mirante vó Cotinha;-22,5404;-45,4811
8873;Moedao BH;-20,1955;-43,9791
10497;Moedinha;-20,2062;-44,0631
9490;Moedinha;-20,193;-44,022
8872;Moedinha BH;-20,1954;-43,9789
9877;Moedão-Topo do mundo;-20,2067;-43,9905
11264;Monte Castelo;-20,4915;-41,8532
11702;Monte Sião Morro do Macaco;-22,3949;-46,5612
9757;Monte verde;-22,8844;-46,0414
9742;Montes Claros - Codorna;-16,8225;-43,8614
11448;Moreira;-22,0053;-44,864
